"ID","GeneName","Alias","GeneID"
1,"ABL1",,25
2,"BTLA",,151888
3,"CXCR4",,7852
4,"FGF23",,8074
5,"HIST1H2BJ",,8970
6,"LRRK2",,120892
7,"NOTCH1",,4851
8,"RAD21",,5885
9,"STAT5A",,6776
10,"ACTB",,60
11,"C11orf30","(EMSY)",56946
12,"DAXX",,1616
13,"FGF3",,2248
14,"HIST1H2BK",,85236
15,"MAF",,4094
16,"NOTCH2",,4853
17,"RAD50",,10111
18,"STAT5B",,6777
19,"AKT1",,207
20,"CAD",,790
21,"DDR2",,4921
22,"FGF4",,2249
23,"HIST1H2BO",,8348
24,"MAFB",,9935
25,"NPM1",,4869
26,"RAD51",,5888
27,"STAT6",,6778
28,"AKT2",,208
29,"CARD11",,84433
30,"DDX3X",,1654
31,"FGF6",,2251
32,"HIST1H3B",,8358
33,"MAGED1",,9500
34,"NRAS",,4893
35,"RAF1",,5894
36,"STK11",,6794
37,"AKT3",,10000
38,"CBFB",,865
39,"DNM2",,1785
40,"FGFR1",,2260
41,"HNF1A",,6927
42,"MALT1",,10892
43,"NT5C2",,22978
44,"RARA",,5914
45,"SUFU",,51684
46,"ALK",,238
47,"CBL",,867
48,"DNMT3A",,1788
49,"FGFR2",,2263
50,"HRAS",,3265
51,"MAP2K1",,5604
52,"NTRK1",,4914
53,"RASGEF1A",,221002
54,"SUZ12",,23512
55,"AMER1","(FAM123B",139285
56,"CCND1",,595
57,"DOT1L",,84444
58,"FGFR3",,2261
59,"HSP90AA1",,3320
60,"MAP2K2",,5605
61,"NTRK2",,4915
62,"RB1",,5925
63,"TAF1",,6872
64,"APC",,324
65,"CCND2",,894
66,"DTX1",,1840
67,"FGFR4",,2264
68,"ICK",,22858
69,"MAP2K4",,6416
70,"NTRK3",,4916
71,"RELN",,5649
72,"TBL1XR1",,79718
73,"APH1A",,51107
74,"CCND3",,896
75,"DUSP2",,1844
76,"FHIT",,2272
77,"ID3",,3399
78,"MAP3K1",,4214
79,"NUP93",,9688
80,"RET",,5979
81,"TCF3","(E2A)",6929
82,"AR",,367
83,"CCNE1",,898
84,"DUSP9",,1852
85,"FLCN",,201163
86,"IDH1",,3417
87,"MAP3K14",,9020
88,"NUP98",,4928
89,"RHOA",,387
90,"TCL1A","(TCL1)",8115
91,"ARAF",,369
92,"CCT6B",,10693
93,"EBF1",,1879
94,"FLT1",,2321
95,"IDH2",,3418
96,"MAP3K6",,9064
97,"P2RY8",,286530
98,"RICTOR",,253260
99,"TET2",,54790
100,"ARFRP1",,10139
101,"CD22",,933
102,"ECT2L",,345930
103,"FLT3",,2322
104,"IGF1R",,3480
105,"MAP3K7",,6885
106,"PAG1",,55824
107,"RNF43",,54894
108,"TGFBR2",,7048
109,"ARHGAP26","(GRAF)",23092
110,"CD274","(PDL1)",29126
111,"EED",,8726
112,"FLT4",,2324
113,"IKBKE",,9641
114,"MAPK1",,5594
115,"PAK3",,5063
116,"ROS1",,6098
117,"TLL2",,7093
118,"ARID1A",,8289
119,"CD36",,948
120,"EGFR",,1956
121,"FLYWCH1",,84256
122,"IKZF1",,10320
123,"MCL1",,4170
124,"PALB2",,79728
125,"RPTOR",,57521
126,"TMEM30A",,55754
127,"ARID2",,196528
128,"CD58",,965
129,"ELP2",,55250
130,"FOXL2",,668
131,"IKZF2",,22807
132,"MDM2",,4193
133,"PASK",,23178
134,"RUNX1",,861
135,"TMSB4XP8","(TMSL3)",7117
136,"ASMTL",,8623
137,"CD70",,970
138,"EP300",,2033
139,"FOXO1",,2308
140,"IKZF3",,22806
141,"MDM4",,4194
142,"PAX5",,5079
143,"S1PR2",,9294
144,"TNFAIP3",,7128
145,"ASXL1",,171023
146,"CD79A",,973
147,"EPHA3",,2042
148,"FOXO3",,2309
149,"IL7R",,3575
150,"MED12",,9968
151,"PBRM1",,55193
152,"SDHA",,6389
153,"TNFRSF11A",,8792
154,"ATM",,472
155,"CD79B",,974
156,"EPHA5",,2044
157,"FOXP1",,27086
158,"INHBA",,3624
159,"MEF2B",,100271849
160,"PC",,5091
161,"SDHB",,6390
162,"TNFRSF14",,8764
163,"ATR",,545
164,"CDC73",,79577
165,"EPHA7",,2045
166,"FRS2",,10818
167,"INPP4B",,8821
168,"MEF2C",,4208
169,"PCBP1",,5093
170,"SDHC",,6391
171,"TNFRSF17",,608
172,"ATRX",,546
173,"CDH1",,999
174,"EPHB1",,2047
175,"GADD45B",,4616
176,"INPP5D","(SHIP)",3635
177,"MEN1",,4221
178,"PCLO",,27445
179,"SDHD",,6392
180,"TOP1",,7150
181,"AURKA",,6790
182,"CDK12",,51755
183,"ERBB2",,2064
184,"GATA1",,2623
185,"IRF1",,3659
186,"MET",,4233
187,"PDCD1",,5133
188,"SERP2",,387923
189,"TP53",,7157
190,"AURKB",,9212
191,"CDK4",,1019
192,"ERBB3",,2065
193,"GATA2",,2624
194,"IRF4",,3662
195,"MIB1",,57534
196,"PDCD11",,22984
197,"SETBP1",,26040
198,"TP63",,8626
199,"AXIN1",,8312
200,"CDK6",,1021
201,"ERBB4",,2066
202,"GATA3",,2625
203,"IRF8",,3394
204,"MITF",,4286
205,"PDCD1LG2","(PDL2)",80380
206,"SETD2",,29072
207,"TRAF2",,7186
208,"AXL",,558
209,"CDK8",,1024
210,"ERG",,2078
211,"GID4","(C17orf39)",79018
212,"IRS2",,8660
213,"MKI67",,4288
214,"PDGFRA",,5156
215,"SF3B1",,23451
216,"TRAF3",,7187
217,"B2M",,567
218,"CDKN1B",,1027
219,"ESR1",,2099
220,"GNA11",,2767
221,"JAK1",,3716
222,"MLH1",,4292
223,"PDGFRB",,5159
224,"SGK1",,6446
225,"TRAF5",,7188
226,"BAP1",,8314
227,"CDKN2A",,1029
228,"ETS1",,2113
229,"GNA12",,2768
230,"JAK2",,3717
231,"MPL",,4352
232,"PDK1",,5163
233,"SMAD2",,4087
234,"TSC1",,7248
235,"BARD1",,580
236,"CDKN2B",,1030
237,"ETV6",,2120
238,"GNA13",,10672
239,"JAK3",,3718
240,"MRE11A",,4361
241,"PHF6",,84295
242,"SMAD4",,4089
243,"TSC2",,7249
244,"BCL10",,8915
245,"CDKN2C",,1031
246,"EXOSC6",,118460
247,"GNAQ",,2776
248,"JARID2",,3720
249,"MSH2",,4436
250,"PIK3CA",,5290
251,"SMARCA1",,6594
252,"TSHR",,7253
253,"BCL11B",,64919
254,"CEBPA",,1050
255,"EZH2",,2146
256,"GNAS",,2778
257,"JUN",,3725
258,"MSH3",,4437
259,"PIK3CG",,5294
260,"SMARCA4",,6597
261,"TUSC3",,7991
262,"BCL2",,596
263,"CHD2",,1106
264,"FAF1",,11124
265,"GPR124",,25960
266,"KAT6A","(MYST3)",7994
267,"MSH6",,2956
268,"PIK3R1",,5295
269,"SMARCB1",,6598
